Group,Product,SKUs,Ingredients,Ingredient source,Current Shopify tax setup,Proposed HSN,Proposed GST,Classification rationale,Could move out of Chapter 09?,Confidence,CA decision - HSN,CA decision - GST rate,CA notes
3. Blend with non-spice ingredients,Frankie Masala,VM-ETC-FRK-017,"Rock Salt, Black Salt, Tamarind, Cumin Seeds, Chillies, Ginger, Cloves, Cinnamon, Star Anise, Compounded Asafoetida, Ajwain, Mint Leaves, Citric Acid",Pack label,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,2103 90,5%,"Salt is the first two ingredients; tamarind, mint, citric acid",Yes - non-spice content could move it from 0910 91 to Chapter 21 (2103 90 / 2106 90),Needs CA confirmation,,,
3. Blend with non-spice ingredients,Kadhi Masala,VM-ETC-KAD-027,"Gram Flour, Sugar, Iodized Salt, Dry Ginger, Cumin Seed, Green Chilly, Compounded Asafoetida, Cloves, Curry Leaves",Pack label,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,2103 90 or 2106 90,5% if 2103 90,"Gram flour first; sugar, salt",Yes - non-spice content could move it from 0910 91 to Chapter 21 (2103 90 / 2106 90),Needs CA confirmation,,,
3. Blend with non-spice ingredients (probable - unverified),Chat Masala,VM-PBS-CHT-050; VM-PBS-CHT-100; VM-PBS-CHT-500,Unverified - tangy sprinkle; chaat masala normally contains black salt and amchur,No panel (box/jar back shows recipe only) - get brand spec,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,2103 90 or 0910 91,5%,Group assumed from product type/description only - classify from pack spec,Possible - depends on actual ingredients,Needs CA confirmation,,,
3. Blend with non-spice ingredients (probable - unverified),Chhas Masala,VM-ETC-CHS-017; VM-PBS-CHS-200; VM-PBS-CHS-500,"Unverified - buttermilk masala, normally salt-based",No ingredient panel in store images - get brand spec,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,2103 90,5%,Group assumed from product type/description only - classify from pack spec,Possible - depends on actual ingredients,Needs CA confirmation,,,
3. Blend with non-spice ingredients (probable - unverified),Jaljira Powder,VM-PBS-JAL-100; VM-PBS-JAL-500,"Unverified - description: cumin, mint and black salt",No panel (box/jar back shows recipe only) - get brand spec,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,2103 90,5%,Group assumed from product type/description only - classify from pack spec,Possible - depends on actual ingredients,Needs CA confirmation,,,
3. Blend with non-spice ingredients (probable - unverified),Panipuri Masala,VM-PBS-PNP-050; VM-PBS-PNP-100,"Unverified - normally salt, mint, amchur",No panel (box/jar back shows recipe only) - get brand spec,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,2103 90,5%,Group assumed from product type/description only - classify from pack spec,Possible - depends on actual ingredients,Needs CA confirmation,,,
3. Blend with non-spice ingredients (probable - unverified),Pizza Masala,VM-ETC-PIZ-017,Unverified - seasoning,No ingredient panel in store images - get brand spec,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,2103 90,5%,Group assumed from product type/description only - classify from pack spec,Possible - depends on actual ingredients,Needs CA confirmation,,,
3. Blend with non-spice ingredients (probable - unverified),Pasta Masala,VM-ETC-PAS-030,Unverified - seasoning,No ingredient panel in store images - get brand spec,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,2103 90,5%,Group assumed from product type/description only - classify from pack spec,Possible - depends on actual ingredients,Needs CA confirmation,,,
3. Blend with non-spice ingredients (probable - unverified),Chevdo Masala,VM-ETC-CHV-020,Unverified - snack seasoning,No ingredient panel in store images - get brand spec,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,2103 90,5%,Group assumed from product type/description only - classify from pack spec,Possible - depends on actual ingredients,Needs CA confirmation,,,
3. Blend with non-spice ingredients (probable - unverified),Khichdi Masala,VM-ETC-KHI-023,Unverified - sachet masala (comparable sachets carry salt/sugar),No ingredient panel in store images - get brand spec,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,2103 90 or 0910 91,5%,Group assumed from product type/description only - classify from pack spec,Possible - depends on actual ingredients,Needs CA confirmation,,,
3. Blend with non-spice ingredients (probable - unverified),Fish Masala,VM-ETC-FSH-012,Unverified - sachet masala,No ingredient panel in store images - get brand spec,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,2103 90 or 0910 91,5%,Group assumed from product type/description only - classify from pack spec,Possible - depends on actual ingredients,Needs CA confirmation,,,
3. Blend with non-spice ingredients (probable - unverified),Biriyani / Pulav Masala,VM-PBS-BIR-050; VM-PBS-BIR-100,Unverified,No panel (box/jar back shows recipe only) - get brand spec,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,0910 91 or 2103 90,5%,Group assumed from product type/description only - classify from pack spec,Possible - depends on actual ingredients,Needs CA confirmation,,,
3. Blend with non-spice ingredients (probable - unverified),Chhole-Chana Masala,VM-PBS-CHC-050; VM-PBS-CHC-100; VM-PBS-CHC-500,Unverified,No panel (box/jar back shows recipe only) - get brand spec,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,0910 91 or 2103 90,5%,Group assumed from product type/description only - classify from pack spec,Possible - depends on actual ingredients,Needs CA confirmation,,,
3. Blend with non-spice ingredients (probable - unverified),Chicken Masala,VM-PBS-CHK-050; VM-PBS-CHK-100; VM-PBS-CHK-500,Unverified,No panel (box/jar back shows recipe only) - get brand spec,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,0910 91 or 2103 90,5%,Group assumed from product type/description only - classify from pack spec,Possible - depends on actual ingredients,Needs CA confirmation,,,
3. Blend with non-spice ingredients (probable - unverified),Chicken Tikka Masala,VM-PBS-CTK-050; VM-PBS-CTK-100,Unverified,No panel (box/jar back shows recipe only) - get brand spec,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,0910 91 or 2103 90,5%,Group assumed from product type/description only - classify from pack spec,Possible - depends on actual ingredients,Needs CA confirmation,,,
3. Blend with non-spice ingredients (probable - unverified),Idli-Sambar Masala,VM-PBS-IDS-050; VM-PBS-IDS-100; VM-PBS-IDS-500,Unverified,No panel (box/jar back shows recipe only) - get brand spec,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,0910 91 or 2103 90,5%,Group assumed from product type/description only - classify from pack spec,Possible - depends on actual ingredients,Needs CA confirmation,,,
3. Blend with non-spice ingredients (probable - unverified),Kitchen King Masala,VM-PBS-KKM-050; VM-PBS-KKM-100; VM-PBS-KKM-500,Unverified,No panel (box/jar back shows recipe only) - get brand spec,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,0910 91 or 2103 90,5%,Group assumed from product type/description only - classify from pack spec,Possible - depends on actual ingredients,Needs CA confirmation,,,
3. Blend with non-spice ingredients (probable - unverified),Mutton Masala,VM-PBS-MUT-050; VM-PBS-MUT-100,Unverified,No panel (box/jar back shows recipe only) - get brand spec,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,0910 91 or 2103 90,5%,Group assumed from product type/description only - classify from pack spec,Possible - depends on actual ingredients,Needs CA confirmation,,,
3. Blend with non-spice ingredients (probable - unverified),Paneer Tikka Masala,VM-PBS-PTK-050; VM-PBS-PTK-100,Unverified,No panel (box/jar back shows recipe only) - get brand spec,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,0910 91 or 2103 90,5%,Group assumed from product type/description only - classify from pack spec,Possible - depends on actual ingredients,Needs CA confirmation,,,
3. Blend with non-spice ingredients (probable - unverified),Pavbhaji Masala,VM-PBS-PAV-050; VM-PBS-PAV-100; VM-PBS-PAV-500,Unverified - box says (MASALA MIX),No panel (box/jar back shows recipe only) - get brand spec,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,0910 91 or 2103 90,5%,Group assumed from product type/description only - classify from pack spec,Possible - depends on actual ingredients,Needs CA confirmation,,,
3. Blend with non-spice ingredients (probable - unverified),Punjabi Gravy Masala,VM-PBS-PGM-050; VM-PBS-PGM-100; VM-PBS-PGM-500,Unverified,No panel (box/jar back shows recipe only) - get brand spec,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,0910 91 or 2103 90,5%,Group assumed from product type/description only - classify from pack spec,Possible - depends on actual ingredients,Needs CA confirmation,,,
3. Blend with non-spice ingredients (probable - unverified),Shahi Paneer Masala,VM-PBS-SHP-050; VM-PBS-SHP-100,Unverified,No panel (box/jar back shows recipe only) - get brand spec,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,0910 91 or 2103 90,5%,Group assumed from product type/description only - classify from pack spec,Possible - depends on actual ingredients,Needs CA confirmation,,,
3. Blend with non-spice ingredients (probable - unverified),Tandoori Chicken Masala,VM-PBS-TAN-050; VM-PBS-TAN-100,Unverified,No panel (box/jar back shows recipe only) - get brand spec,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,0910 91 or 2103 90,5%,Group assumed from product type/description only - classify from pack spec,Possible - depends on actual ingredients,Needs CA confirmation,,,
3. Blend with non-spice ingredients (probable - unverified),Undiyu Masala,VM-PBS-UND-050,Unverified,No panel (box/jar back shows recipe only) - get brand spec,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,0910 91 or 2103 90,5%,Group assumed from product type/description only - classify from pack spec,Possible - depends on actual ingredients,Needs CA confirmation,,,
3. Blend with non-spice ingredients (probable - unverified),Lajawab Garam Masala,VM-GM-LAJ-050; VM-GM-LAJ-100,Unverified - the two readable garam masalas contain salt and oil,No panel (box/jar back shows recipe only) - get brand spec,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,0910 91 or 2103 90,5%,Group assumed from product type/description only - classify from pack spec,Possible - depends on actual ingredients,Needs CA confirmation,,,
3. Blend with non-spice ingredients (probable - unverified),Special Garam Masala,VM-GM-SPL-1000,Unverified - no product images,No ingredient panel in store images - get brand spec,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,0910 91 or 2103 90,5%,Group assumed from product type/description only - classify from pack spec,Possible - depends on actual ingredients,Needs CA confirmation,,,
3. Blend with non-spice ingredients (probable - unverified),Super Garam Masala,VM-GM-SUP-1000,Unverified - no product images,No ingredient panel in store images - get brand spec,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,0910 91 or 2103 90,5%,Group assumed from product type/description only - classify from pack spec,Possible - depends on actual ingredients,Needs CA confirmation,,,
3. Blend with non-spice ingredients (probable - unverified),Surti Garam Masala,VM-GM-SUR-1000,Unverified - no product images,No ingredient panel in store images - get brand spec,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,0910 91 or 2103 90,5%,Group assumed from product type/description only - classify from pack spec,Possible - depends on actual ingredients,Needs CA confirmation,,,
3. Blend with non-spice ingredients (probable - unverified),Dalshak Masala,VM-GM-DAL-1000,Unverified - no product images; described as a mild garam masala,No ingredient panel in store images - get brand spec,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,0910 91 or 2103 90,5%,Group assumed from product type/description only - classify from pack spec,Possible - depends on actual ingredients,Needs CA confirmation,,,
3. Blend with non-spice ingredients (probable - unverified),Premium Tea Masala,VM-TEA-PRM-050; VM-TEA-PRM-100,Unverified - heading changes if it contains tea leaf or sugar,No panel (box/jar back shows recipe only) - get brand spec,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,0910 91 if spices only,5%,Group assumed from product type/description only - classify from pack spec,Possible - depends on actual ingredients,Needs CA confirmation,,,
4. Salt,Black Salt,VM-EPP-BSL-1000,Black Salt (in powder form),Pack label,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,2501 00,Nil,"Salt, all types - exempt",No,High (confirm exemption covers black salt powder),,,
4. Salt,Rock Salt,VM-FAST-RCK-1000,Rock Salt,Pack label,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,2501 00,Nil,"Salt, all types - exempt",No,High (confirm exemption covers rock salt),,,
5. Hing,No.300 Compound Hing Powder,VM-HING-300-050; VM-HING-300-100; VM-HING-300-200; VM-HING-300-500,"Wheat Flour, Gum Arabic, Asafoetida. Wheat flour 70% approx.",Pack label,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,1301 90 or 2106 90,5% if 1301 90 - CA,Mostly wheat flour; asafoetida is a minor component,Yes - flour share may move it to 2106 90,Needs CA confirmation,,,
5. Hing,Premium Compound Hing Powder,VM-HING-PRM-050; VM-HING-PRM-100; VM-HING-PRM-200; VM-HING-PRM-500,"Wheat Flour, Gum Arabic, Asafoetida. Wheat flour 60% approx.",Pack label,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,1301 90 or 2106 90,5% if 1301 90 - CA,As above,Yes - as above,Needs CA confirmation,,,
5. Hing,Black Label Compound Hing,VM-HING-BLK-500,"Wheat Flour, Gum Arabic, Asafoetida. Wheat flour 60% approx.",Pack label,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,1301 90 or 2106 90,5% if 1301 90 - CA,As above,Yes - as above,Needs CA confirmation,,,
5. Hing,Green Label Compound Hing,VM-HING-GRN-500,"Wheat Flour, Gum Arabic, Asafoetida. Wheat flour 60% approx.",Pack label,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,1301 90 or 2106 90,5% if 1301 90 - CA,As above,Yes - as above,Needs CA confirmation,,,
5. Hing,Red Label Compound Hing,VM-HING-RED-500,"Wheat Flour, Gum Arabic, Asafoetida. Wheat flour 60% approx.",Pack label,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,1301 90 or 2106 90,5% if 1301 90 - CA,As above,Yes - as above,Needs CA confirmation,,,
5. Hing,Super Compound Hing Powder,VM-HING-SUP-050; VM-HING-SUP-100; VM-HING-SUP-200; VM-HING-SUP-500,Unverified - jar front reads Compounded Asafoetida; panel unreadable,Jar front only,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,1301 90 or 2106 90,5% if 1301 90 - CA,Presumed same composition as other hing,Yes - as above,Needs CA confirmation,,,
6. Flour,Rajgara Atta,VM-FAST-RAJ-100; VM-FAST-RAJ-200; VM-FAST-RAJ-500,Rajgira (amaranth),Pack label,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,1102 90 or 1106,5% if pre-packaged & labelled,Single-ingredient flour,No,Needs CA confirmation,,,
6. Flour,Shingoda Atta,VM-FAST-SHG-100; VM-FAST-SHG-500,Unverified - description: water chestnut flour,No ingredient panel in store images - get brand spec,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,1106,5% if pre-packaged & labelled,Flour of edible fruit/nut,No,Needs CA confirmation,,,
7. Cocoa,Cold Coco Powder,VM-ETC-COC-100,"Unverified - pack front reads COCOA POWDER (INSTANT MIX), implying added sugar/milk solids",Pack front only,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,1806 10 or 1805 / 2106,CA - historically 18%,"Instant mix, not plain cocoa",Yes - heading depends on sugar/milk content,Needs CA confirmation,,,
8. Other/unclear,Oregano Flakes,VM-ETC-ORE-012,Unverified - description: dried oregano leaves,No ingredient panel in store images - get brand spec,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,1211 90 or 0910 99,5%,Dried herb,No,Needs CA confirmation,,,
8. Other/unclear,Peepramul (Ganthoda) Powder,VM-EPP-PPR-050,"Unverified - description: long pepper root, ground",No ingredient panel in store images - get brand spec,Taxable; tax code blank; HSN blank; no category; charged 18% IGST (GoKwik) - no overrides,1211 90 or 0904,5%,Root of Piper longum,No,Needs CA confirmation,,,
